decode_step,issued,major_fault_delta,latency_ns,state
1,0,4186,542359743,normal
2,0,3597,664558858,normal
3,0,6897,867241765,normal
4,960,724,455289317,gate_recovery
5,960,620,378180507,gate_recovery
6,960,687,449434108,gate_recovery
7,960,763,432045240,gate_recovery
8,960,641,500851602,gate_recovery
9,960,832,486339705,cold_suspended
10,960,548,398855454,cold_suspended
11,960,502,382362969,cold_suspended
12,960,384,595110353,cold_suspended
13,960,297,447081733,cold_suspended
14,960,343,332542060,cold_suspended
15,960,596,509388632,cold_suspended
16,960,383,299873907,cold_suspended
17,960,366,377727164,cold_suspended
18,960,454,455906314,cold_suspended
19,960,819,651287127,cold_suspended
20,960,415,540824481,cold_suspended
21,958,263,524799500,cold_suspended
22,957,309,521761673,cold_suspended
23,960,265,382294114,cold_suspended
24,954,865,680995557,cold_suspended
25,960,267,403448217,cold_suspended
26,960,541,502707005,cold_suspended
27,960,655,393693899,cold_suspended
28,960,502,468475980,cold_suspended
29,960,472,371340092,cold_suspended
30,960,436,371622919,cold_suspended
31,960,544,386485682,cold_suspended
32,960,265,323998764,cold_suspended
33,959,319,340359570,cold_suspended
34,960,612,396988401,cold_suspended
35,960,582,414784729,cold_suspended
36,960,593,367041357,cold_suspended
37,960,740,464158672,cold_suspended
38,960,781,688052612,cold_suspended
39,960,950,541695094,cold_suspended
40,960,838,639766768,cold_suspended
41,960,642,428982288,cold_suspended
42,960,768,525209673,cold_suspended
43,960,594,421899076,cold_suspended
44,959,568,599357964,cold_suspended
45,948,349,496591731,cold_suspended
46,960,538,361891584,cold_suspended
47,960,595,387968173,cold_suspended
48,960,304,335877928,cold_suspended
49,944,533,430831829,cold_suspended
50,960,572,447053411,cold_suspended
51,960,430,582216320,cold_suspended
52,960,661,459530449,cold_suspended
53,960,514,558769308,cold_suspended
54,960,320,423913359,cold_suspended
55,960,508,437679965,cold_suspended
56,960,421,501388324,cold_suspended
57,960,955,715622607,cold_suspended
58,960,708,486774028,cold_suspended
59,960,563,705614172,cold_suspended
60,960,912,639213907,cold_suspended
61,960,823,654445063,cold_suspended
62,960,631,515636407,cold_suspended
63,960,691,586261497,cold_suspended
64,960,606,455088971,cold_suspended
65,960,771,522850009,cold_suspended
66,960,636,627224910,cold_suspended
67,960,937,526625606,cold_suspended
68,960,820,539303049,cold_suspended
69,960,743,445535272,cold_suspended
70,960,777,487008646,cold_suspended
71,960,556,629427205,cold_suspended
72,960,717,477090036,cold_suspended
73,960,563,589795935,cold_suspended
74,960,463,449935982,cold_suspended
75,960,500,575358935,cold_suspended
76,960,872,586394029,cold_suspended
77,960,609,658795584,cold_suspended
78,960,595,595834212,cold_suspended
79,960,420,515415343,cold_suspended
